Fecha,SHA-E01,SHA-E02,SHA-E03,SHA-E04,SHA-E05,SHA-E06,SHA-E07,SHA-E08,SHA-E09,SHA-E10,SHA-E11,SHA-E12,SHA-E13,SHA-E14,SHA-E15,SHA-E16,SHA-E17,SHA-E18,SHA-E19,SHA-E20,SHA-E21,SHA-E22,SHA-E23,SHA-E24,SHA-E26x,SHA-E27,SHA-E30,SHA-E34,SHA-P01,SHA-P02,SHA-P03,SHA-P04,SHA-P05,SHA-P06,SHA-P07,SHA-P08A,SHA-P09,SHA-P10,SHA-P11,SHA-P12,SHA-P13,SHA-P14
15-07-2007,88.707,121.371,80.557,65.476,90.746,95.221,34.784,32.516,42.265,53.935,11.739,11.392,25.185,17.376,11.011,12.722,20.632,2.463,1.014,102.815,94.706,80.189,12.849,3.668,NaN,47.169,170,84.853,90.077,97.053,92.566,64.848,34.475,32.464,41.929,11.923,21.417,13.374,26.365,1.3,78.559,46.63
19-07-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-08-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-08-2007,88.84,121.505,80.667,65.685,90.885,95.4,34.85,32.58,42.335,54.045,11.77,11.4,25.14,17.91,11.02,12.735,20.82,2.425,0.97,102.91,94.81,80.28,12.91,3.752,NaN,47.288,170.545,84.945,90.22,97.22,92.75,64.75,34.545,32.545,42,11.95,21.46,11.355,26.425,1.285,78.555,46.7
23-08-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-09-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-10-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-2007,88.813,121.495,80.651,65.575,90.854,95.307,34.83,32.57,42.315,54.02,11.804,11.435,25.22,17.935,11.012,12.738,20.789,2.452,0.998,102.922,94.809,80.282,12.942,3.8,NaN,47.357,170.52,84.95,90.181,97.16,92.67,64.948,34.533,32.515,41.985,11.995,21.458,13.341,26.438,1.293,78.652,46.756
21-11-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-12-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-12-2007,88.684,121.202,80.428,65.357,90.645,95.358,34.728,32.463,42.192,53.864,11.768,11.398,25.175,16.564,10.934,12.664,20.869,2.496,1.003,102.679,94.555,80.045,12.904,3.807,NaN,47.237,168.325,84.721,90.025,97.149,92.481,64.804,34.421,32.432,41.862,11.962,21.489,13.39,26.365,1.318,78.423,NaN
23-12-2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
